あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
ぶらげー	ぶらげー 〈ほら貝、うどの大木〉 【例】ふど
ふるばすん	ふるばすん 〈金銭を踏倒す〉【活】ふるばち
ふり〜	ふり〜〈限度が過ぎた、バカな〉 【例】ふりゆ
ふり ぢから	ふり ぢから 〈馬鹿力〉 【例】っちゅぬ 
ふり むん	ふり むん 〈バカ〉 【例】っやーや ふり
ふるみーん	ふるみーん 〈古くする〉【活】ふるみたん、ふ
ふるむん	ふるむん 〈古くなる〉【活】ふるだん、ふるま
ふんしー	ふんしー 〈風水〉 【例】うちなーや なち
ぶんぢらー／ぶんぢり	ぶんぢらー／ぶんぢり 〈棒切れ〉 【例】
〜ふん	〜ふん 〈（数詞として、鉛筆などの）〜本〉
ふんでー すん	ふんでー すん 〈わがままをする〉【活】〜
ぶん	ぶん 〈品格〉 【例】あぬ っちょー ぶんぬ
べー／べーる	べー／べーる 〈嫌だ（否定）〉 【例】しか
ぼー／ぶい／ぶち	ぼー／ぶい／ぶち 〈棒／短い棒／細い棒〉
ほーりいん	ほーりいん 〈こぼれる〉【活】ほーりたん、ほ
ほー いん	ほー いん 〈こぼす〉【活】ほーたん、ほー
ほーいん	ほーいん 〈這う〉【活】ほーたん、ほーらん、
ほー らすん	ほー らすん 〈這わせる〉【活】ほーらちゃ
ほー い がじまる	ほー い がじまる 〈根が這いすぎたガジ
ぼーじゃー	ぼーじゃー 〈坊主、乳児〉 【例】あんだく
ほーちゃく	ほーちゃく 〈爆竹〉 【例】ババンバンバ
ほーち んちゅん	ほーち んちゅん 〈かき込む〉【活】〜んち
ほーちゅん	ほーちゅん 〈清掃する、ビンタをする〉【活】
ぼーちり／ぼーちらー	ぼーちり／ぼーちらー 〈乱暴者〉 【例】
ほーとぅ	ほーとぅ 〈鳩〉 【例】ほーとぅや くーが 
ふぁー	ふぁー 〈葉〉 【例】はなしぇー はな さか
ふぁーふぁー	ふぁーふぁー 〈火照っていること〉 【例】
ふぁんない すん	ふ ぁ ん な い   す ん 〈高熱が噴き出る〉
ふぃー	ふぃー 〈火〉 【例】かじん かーきとーくと
ふぃー らちゅん	ふぃー らちゅん 〈ひりひり痛む〉【活】〜
ふぃー たったー すん	ふぃー たったー すん 〈（摩擦熱、やけ
ふぃー だま	ふぃー だま 〈火玉〉 【例】ふぃーだまや
ふぃー	ふぃー 〈陽、日〉 【例】ふぃーぬ さがてぃか
ふぃー かじ	ふぃー かじ 〈日数〉 【例】わんねー す
ふぃー かたか	ふぃー かたか 〈日除け〉【活】てぃーだ 
ふぃー ちゃーさー	ふぃー ちゃーさー 〈消防士〉 【例】わ
ふぃー じー	ふぃー じー 〈常日頃〉 【例】まるふぃー
ふぃー どぅい	ふぃー どぅい 〈日取り〉 【例】やー う
ふぃー びー	ふぃー びー 〈日々、日常〉 【例】ふぃー
ふぃー むどぅい	ふぃー むどぅい 〈日帰り〉 【例】くぬ
ふぃー くし	ふぃー くし 〈欠点〉【活】やな ぐし〈悪
ふぃー	ふぃー 〈屁〉
ふぃー ふぃらー	ふぃー ふぃらー 〈おならをよくする者〉
ふぃーん	ふぃーん 〈屁を放る〉【活】ふぃっちゃん、ふ
ふぃ よー（さー）	ふぃ よー（さー）〈日雇い（労働者）〉
ふぃーうち	ふぃーうち 〈忌中〉 【例】ふぃーうちんで
ふぃ じゅー	ふぃ じゅー 〈一日中〉 【例】ちゅーや 
ふぃーさ	ふぃーさ 〈寒さ〉
ふぃーさ がたがた すん	ふぃーさ がたがた すん 〈寒さで震え
ふぃー ぐに	ふぃー ぐに 〈寒い地域〉 【例】あちぐに
ふぃーさ うみー	ふぃーさ うみー 〈寒がり〉 【例】あれー
ふぃーさ ぬー	ふぃーさ ぬー 〈悪寒〉 【例】ふぃーさぬ
ふぃーじんとー	ふぃーじんとー 〈遊びの一種〉 【例】ふ
ふぃーち	ふぃーち 〈ひいき〉 【例】っくゎ びーちゃ
ふぃーとぅ	ふぃーとぅ 〈いるか〉 【例】いくさ うわ
ふぃーさ まがい	ふぃーさ まがい 〈寒さで縮こまること〉
ふぃーじゃー	ふぃーじゃー 〈山羊〉 【例】ふぃーじゃ
ふぃーふぃー	ふぃーふぃー 〈ひゅーひゅー〉 【例】い
ふぃーじゃー がー	ふぃーじゃー がー 〈湧き水場〉 【例】
ふぃーら	ふぃーら 〈へら〉 【例】ふぃーら からちく
ふぃーらー	ふぃーらー 〈ゴキブリ〉 【例】まっくーる
ふぃさ まんち すん	ふぃさ まんち すん 〈正座する〉【活】〜
ふぃさ だかー すん	ふぃさ だかー すん 〈つま先立ちする〉
ふぃがん／ふぃんがん	ふぃがん／ふぃんがん 〈彼岸〉 【例】
ふぃさ もー	ふぃさ もー 〈足のない者〉【活】／ふぃさ
ふぃさ	ふぃさ 〈足〉 【例】うふぇー ふぃさー ぐ
ふぃさ うとぅ	ふぃさ うとぅ 〈足音〉 【例】ゆるゆなか
ふぃし	ふぃし 〈栓〉 【例】なま ぬだる さけー 
ふぃし／ふぃち すー	ふぃし／ふぃち すー 〈干潮〉 【例】
ふぃしーん	ふぃしーん 〈（厚み、濃さを）薄くする〉【活】
ふぃじゅい	ふぃじゅい 〈冷気〉 【例】ふぃじゅい い
ふぃし かーがー	ふぃし かーがー 〈透けて見える物陰〉
ふぃじゅってーん すん	ふぃじゅってーん すん 〈ひんやりする〉
ふぃし やちー	ふぃし やちー 〈薄焼き〉 【例】やまとぅ
ふぃじゅるー	ふぃじゅるー 〈冷たいもの、冷たい者〉
ふぃじ	ふぃじ 〈返事〉 【例】っちゅんかい えーじ
ふぃじゅいん	ふぃじゅいん 〈冷める〉【活】ふぃじゅた
ふぃじゅ らすん	ふぃじゅ らすん 〈冷たくする〉【活】ふ
ふぃじゅる かんぢゃー	ふぃじゅる かんぢゃー 〈寒々としてい
ふぃじゅる むん	ふぃじゅる むん 〈冷たい食べ物〉 【例】
ふぃぢゃい	ふぃぢゃい 〈左〉 【例】くぬ テレビんか
ふぃじゅる みじ	ふぃじゅる みじ 〈冷たい水〉 【例】ぬー
ふぃた	ふぃた 〈下手〉 【例】っやーや ふぃじゃい
ふぃだてぃーん	ふぃだてぃーん 〈隔てる〉【活】ふぃだて
ふぃだてぃ	ふぃだてぃ 〈隔て〉 【例】いちゃりば ち
ふぃぢゃい おーぢ めー	ふぃぢゃい おーぢ めー 〈左うちわ〉
ふぃぢゃい まちゃー	ふぃぢゃい まちゃー 〈つむじが左巻きの
ふぃぢゃい みぐい	ふぃぢゃい みぐい 〈空回り〉 【例】あ
ふぃぢ	ふぃぢ 〈髭〉 【例】っわー ふぃぢ（鼻ひげ）、
ふぃぢゃ やー／ふぃぢゃい がって	ふぃぢゃ やー／ふぃぢゃい がって
ぃ	ぃ 〈左きき〉 【例】ふぃぢゃやーや ふぃぢ
ふぃぢゃるー	ふぃぢゃるー 〈不器用、ばつが悪い〉 【例】
ふぃちないん	ふぃちないん 〈抜ける〉【活】ふぃちなた
ふぃぢゃまいん	ふぃぢゃまいん 〈隔たる〉【活】ふぃぢゃ
ふぃちなすん	ふぃちなすん 〈とって置く〉【活】ふぃちな
ふぃぢゃみーん	ふぃぢゃみーん 〈隔てる〉【活】ふぃぢゃ
ふぃちゃいん	ふぃちゃいん 〈光る〉【活】ふぃちゃたん、
ふぃぢゅん	ふぃぢゅん 〈削る〉【活】ふぃぢゃん、ふぃ
ふぃちゃい	ふぃちゃい 〈光り〉 【例】わったー なー
ふぃち	ふぃち 〈親戚〉 【例】っやーや まーぬ ふ
ふぃちゅん	ふぃちゅん 〈引く、弾く、挽く〉 【例】う
ふぃちゃい／ふぃちぇー	ふぃちゃい／ふぃちぇー 〈額〉 【例】
ふぃち あてぃーん	ふぃち あてぃーん 〈引き合わす〉【活】〜
ふぃち たちゅん	ふぃち たちゅん 〈引き立つ〉【活】〜たっ
ふぃっ かかい むっかかい すん	ふぃっ かかい むっかかい すん〈ひ
ふぃち ちーん	ふぃち ちーん 〈引きつる〉【活】〜ちた
ふぃっ かたんちゅん	ふぃっ かたんちゅん〈熱中する〉【活】ふ
ふぃち とぅいん	ふぃち とぅいん 〈引きとる〉【活】〜とぅ
ふぃち くむん	ふぃち くむん 〈（人を）引き込む〉【活】〜
ふぃち ぬぢゅん	ふぃち ぬぢゅん 〈引き抜く〉【活】〜ぬぢ
ふぃち けーすん	ふぃち けーすん 〈引き返す〉【活】〜けー
ふぃち ぬばすん	ふぃち ぬばすん 〈引き延ばす〉【活】〜ぬ
ふぃち のーすん	ふぃち のーすん 〈再確認する、改める〉
ふぃち さがいん	ふぃち さがいん 〈（空腹で）元気がなく
ふぃち しみーん	ふぃち しみーん 〈引き締める〉【活】〜し
ふぃち ゃーすん	ふぃち ゃーすん 〈引き合わす〉【活】〜ゃ
ふぃち ゃーいん	ふぃち ゃーいん 〈引き合う〉【活】〜ゃー
ふぃっ ぱい かっぱい すん	ふぃっ ぱい かっぱい すん 〈引きつ
ふぃち ゃぎーん	ふぃち ゃぎーん 〈引き揚げる〉【活】〜ゃ
ふぃちゅん	ふぃちゅん 〈干る、潮がひく〉【活】ふぃち
ふぃち むん	ふぃち むん 〈差し押さえ〉 【例】ゐーっ
ふぃち すー	ふぃち すー 〈干潮〉 【参】ふぃし。
ふぃっすいふぃっすい すん	ふぃっすいふぃっすい すん 〈ずき
ふぃっ ちーん	ふぃっ ちーん 〈引き切る〉【活】〜っちっ
ふぃっ ちり びっちり すん	ふぃっ ちり びっちり すん 〈切れ切
ふぃっちー	ふぃっちー 〈いつも、一日中〉 【例】ちゅ
ふぃっちー ぐーしー	ふぃっちー ぐーしー〈一日おき〉【活】ま
ふぃっちょー／ふぃっちぇー	ふぃっちょー／ふぃっちぇー 〈比較〉
ふぃっとぅんがすん	ふぃっとぅんがすん 〈飛び出す〉【活】ふ
ふぃっちゃてぃーん	ふぃっちゃてぃーん 〈ひっぱり上げる〉
ふぃっちぇーいん	ふぃっちぇーいん 〈ひっくり返る〉【活】
ふぃないん、ふぃーん	ふぃないん、ふぃーん 〈減る、小さくな
ふぃならすん	ふぃならすん 〈減らす、小さくする〉【活】
ふぃっちぇーらすん	ふぃっちぇーらすん 〈ひっくり返す〉
ふぃっちぇーすん	ふぃっちぇーすん 〈ぶり返す〉【活】ふ
ふぃみち すん	ふぃみち すん 〈喘息でぜいぜいする〉
ふぃにーん	ふぃにーん 〈ひねる〉【活】ふぃにたん、ふ
ふぃみち	ふぃみち 〈喘息〉 【例】ふぃみちゃー（喘
ふぃばりーん	ふぃばりーん 〈ひび割れる〉【活】ふぃばり
ふぃむん	ふぃむん 〈碑文〉 【例】ハンドーグヮーぬ 
ふぃま	ふぃま 〈暇〉 【例】いちゅなさる なーかを
ふぃら	ふぃら 〈坂〉 【例】「っうぇーき ふぃんす
ふぃま だーり	ふぃま だーり 〈暇をつぶすこと〉【活】ふ
ふぃら〜	ふぃら〜〈平たい〉
ふぃらー、ふぃら たっぺー、ふぃらべったー、ふぃらたー	ふぃらー、ふぃら たっぺー、ふぃらべったー、ふぃらたー 〈平たいもの〉 【例】
ふぃら やちー	ふぃら やちー 〈沖縄風チヂミ〉 【例】ふ
ふぃら きーん	ふぃら きーん 〈ぺたっと座る、ぺっしゃ
ふぃらいん	ふぃらいん 〈つき合う、仕える〉【活】ふぃ
ふぃれー	ふぃれー 〈つきあい〉 【例】っちゅ びれ
ふぃら かすん	ふぃら かすん 〈ぺっしゃんこにする〉【活】
ふぃら ぐん	ふぃら ぐん 〈三つ編み〉 【例】んかしぇ
ふぃらくむん	ふぃらくむん 〈しびれる〉【活】ふぃらくだ
ふぃら ふぁー ぐさ	ふぃら ふぁー ぐさ 〈オオバコ〉 【例】
ふぃらちゅん	ふぃらちゅん 〈開く〉【活】ふぃらちゃん、
ふぃるがいん	ふぃるがいん 〈広がる、繁栄する〉【活】ふ
ふぃり	ふぃり 〈へり〉 【例】たたんぬ ふぃりぬ 
ふぃりーん	ふぃりーん 〈拾う〉【活】ふぃったん、ふぃり
ふぃりー がみ	ふぃりー がみ 〈つまみ食い〉 【例】で
ふぃるぎーん	ふぃるぎーん 〈広げる、拡げる〉【活】ふぃ
ふぃり すー	ふぃり すー 〈干潮〉 【例】うちなーぐ
ふぃん	ふぃん 〈変、すねること〉 【例】ふぃんな 
ふぃん すん	ふぃん すん 〈ひねくれる〉【活】〜さん、〜
ふぃん まがいん	ふぃん まがいん 〈ひね曲がる〉【活】〜ま
ふぃる	ふぃる 〈にんにく、蒜〉 【例】んかしぇー ふ
ふぃん むでぃーん	ふぃん むでぃーん 〈ねじれる〉【活】〜む
ふぃんぐ	ふぃんぐ 〈皮膚に付いている垢、煤〉 【例】
ふぃん ぬぎーん	ふぃん ぬぎーん 〈すり抜ける〉【活】〜ぬ
ふぃんじむん	ふぃんじむん 〈ひねくれ者〉 【例】＝ふぃ
ふぃんがー まやー	ふぃんがー まやー〈汚れた猫〉 【例】ゆ
ふぃんぎーん	ふぃんぎーん 〈逃げる〉【活】ふぃんぎた
ふぃんすー	ふぃんすー 〈貧乏〉 【例】ふぃんすーむの
ふぃんがすん	ふぃんがすん 〈逃がす〉【活】ふぃんがちゃ
ふぃんち	ふぃんち 〈急に不機嫌になること〉 【例】ふ
ふぃんとー	ふぃんとー 〈返答〉 【例】ちかりーるぐと
